"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","ligninSampleID","archiveSampleID","processedBy","remarks","dataQF"
"310bec41-f79a-42b3-b2d5-00720ab2e8af","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=","2018-08-29T13:38Z","2018-08-30T18:51Z",NA,"OK","AVQkM2txccdJInaV60DTclWghgJyQkIgKcu9WGq0iVY=","AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=",NA,"ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=",NA,NA
"86126314-cc49-434d-b95d-49ab86532cf5","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=","2017-07-24T12:29Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2TM9SwPpPt9o=","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2AyBk/0pbYcI=","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2Yt5V+pUiTkk=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"0b2d26e5-091c-41c4-ae99-4d3714da41c7","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","2017-07-24T13:06Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk18recdnuMUehunN/NlpHPvs6cmKLR97Hmk=","HvxvVDlCk18recdnuMUehunN/NlpHPvs7GwOX4Woi0wqWo0XAe6E9A==","HvxvVDlCk18recdnuMUehunN/NlpHPvsq7aM3WxxYM0=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"6e5d692a-4c11-4503-8b3c-0f71b3c6b545","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=","2017-07-24T15:09Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhR45gOlfojzUk=","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRtx+LCXQyZWQ=","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRHEsSl3TVxwM=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"fcdd8aaf-192c-4e8d-aedd-238903624add","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=","2017-07-25T13:28Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1qp8ukYnPs5Y=","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oJmhmKxzDCY=","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1uKGoRzt3DtU=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"a8b719e2-f5ff-492a-8e12-9fc1d8bc7e98","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=","2017-07-25T13:29Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl0x6dA5X4eE=","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcxBJk92JCu1ErBe8+n81eiw==","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcvPsxf3ugzR4=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"995c7b43-ba19-44ee-b20b-d3f09e735ae1","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=","2017-07-25T14:26Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNsG0EH30eQsE=","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNKVYrgd/2kEY=","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNRuxYDDyqCro=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"9a2dc64d-c880-42be-ba77-8b0703e25fd0","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=","2017-07-25T16:57Z","2017-07-25T22:00Z","2017-07-30T22:00Z","OK","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a8YdujV1OoA4=","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0aEQ9c64G813o=","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0azL4rC1E4FeU=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"cf0d00f1-3ede-4cf5-b79b-129cf4eafe04","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","2017-07-26T13:50Z","2017-07-26T23:45Z","2017-08-04T17:25Z","OK","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzEQRhUxfyE60=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWziHTr/14x71s=","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzq+Rg3GyIyv4=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
"8d861331-f33b-48ff-a21c-194cc63f5cec","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=","2017-07-26T15:52Z","2017-07-30T23:45Z","2017-08-04T17:25Z","OK","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlz6KJecjE+abQ=","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzEEwfXuIEu8s=","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzTiBjMjWudZM=","i3SDxFb/lMMZxDIw/9OBsZ3OfckbEDnA",NA,NA
