"uid","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","samplingProtocolVersion","collectDate","subplotID","sampleType","samplingMethod","vstTag","tagID","individualID","taxonID","scientificName","plantStatus","clipCellNumber","clipID","clipLength","clipWidth","percentCoverClip","sampleID","subsample1Height","subsample2Height","subsample3Height","chlorophyllSampleID","collectedBy","recordedBy","remarks","dataQF"
"9507bc01-0c10-4a21-9efd-d760b0fa841e","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-29T13:38Z","23","Woody individual","line launcher","Y","05643","NEON.PLA.D01.HARV.05643","PIAB","Picea abies (L.) Karst.","Live",NA,NA,NA,NA,NA,"AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=",21.5,NA,NA,"AVQkM2txccdJInaV60DTclWghgJyQkIgDcoIun1GyrU=","kTEpSRbe1TOTj0psovHkfbrdgsBZd6I/BFigIgOa6Fk=","ZfNDtfkw2sRmM8MsseJuXsXaZFuDxcurLwIfocRsRN8=",NA,NA
"a5f54cd8-aab2-470f-a7ce-85c26c7b47e5","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-30T13:54Z","23","Woody individual","line launcher","Y","05632","NEON.PLA.D01.HARV.05632","FRAM2","Fraxinus americana L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=",21.7,NA,NA,"AVQkM2txcccfnFvOIWuQJKbDLFELfXIRNtCa2mXFELszdFWftE0bvQ==","kTEpSRbe1TOTj0psovHkfbrdgsBZd6I/BFigIgOa6Fk=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",NA,NA
"a7000341-635d-41dd-ba94-c8c76e6252a5","HARV_033.basePlot.cfc","D01","HARV","HARV_033","tower","deciduousForest","WGS84",42.53831,-72.175606,20.2,359,0.27,"NEON.DOC.001024vE","2018-08-30T14:54Z","23","Woody individual","line launcher","Y","05625","NEON.PLA.D01.HARV.05625","ACRU","Acer rubrum L.","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=",12.4,NA,NA,"AVQkM2txccf8cJ5aHkcu56cKijO7cC4XzbVb0Q9B7Vo=","kTEpSRbe1TOTj0psovHkfbrdgsBZd6I/BFigIgOa6Fk=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",NA,NA
"83018f22-2bdf-4bbc-b60f-b5c93186aae1","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-08-30T18:38Z","21","Woody individual","line launcher","Y","04566A","NEON.PLA.D01.HARV.04566A","BELE","Betula lenta L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=",11.6,NA,NA,"AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+cBhS81DxCw0=","kTEpSRbe1TOTj0psovHkfbrdgsBZd6I/BFigIgOa6Fk=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",NA,NA
"41e33fab-93cd-40e1-8e6e-00c94fa6a938","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-08-30T19:35Z","21","Woody individual","line launcher","Y","04568","NEON.PLA.D01.HARV.04568","ACRU","Acer rubrum L.","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=",11,NA,NA,"AVQkM2txccdkxXlfsPQ38KN4nflsRnjpLJ1UgD12bp4=","kTEpSRbe1TOTj0psovHkfbrdgsBZd6I/BFigIgOa6Fk=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO",NA,NA
"bd23b915-7920-41a3-a20e-132826fca0fe","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539971,-72.178087,20.2,366.1,0.27,"NEON.DOC.001024vE","2018-09-04T15:09Z","21","Woody individual","line launcher","Y","4552","NEON.PLA.D01.HARV.04552","TSCA","Tsuga canadensis (L.) Carrière","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=",11.6,NA,NA,"AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Hemlock woolly adelgid",NA
"d72998cb-8c20-41b5-9c5e-006baeb0cd43","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537318,-72.17932,20.2,364.6,0.29,"NEON.DOC.001024vE","2018-09-04T18:41Z","41","Woody individual","line launcher","Y","5186","NEON.PLA.D01.HARV.05186","TSCA","Tsuga canadensis (L.) Carrière","Live, insect damaged",NA,NA,NA,NA,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=",17.7,15.5,NA,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","Hemlock woolly adelgid",NA
"a6317a34-fc40-481e-b6f7-494ac98025dd","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537318,-72.17932,20.2,364.6,0.29,"NEON.DOC.001024vE","2018-09-04T20:14Z","41","Woody individual","line launcher","Y","5181","NEON.PLA.D01.HARV.05181","ACRU","Acer rubrum L.","Live, disease damaged",NA,NA,NA,NA,NA,"AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=",17.6,19.4,NA,"AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"1fa7673c-f263-4d7d-9779-e203872be4cd","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.33,"NEON.DOC.001024vE","2018-09-05T14:07Z","31","Woody individual","line launcher","Y","1135","NEON.PLA.D01.HARV.01135","ACSA3","Acer saccharum Marshall","Live",NA,NA,NA,NA,NA,"AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=",14.8,NA,NA,"AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
"e3f604c4-19dc-4d77-8f41-eb931fc95969","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.39229,-72.25461,20.2,184.3,0.33,"NEON.DOC.001024vE","2018-09-05T14:50Z","32","Woody individual","line launcher","Y","1137","NEON.PLA.D01.HARV.01137","PIST","Pinus strobus L.","Live",NA,NA,NA,NA,NA,"AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=",18.6,NA,NA,"AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=","i645/depOZPdWFnqctuXyl+W6KvXxKYQTAsrRF8Rfso=","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","",NA
